ave_i:0.00149949 dif_i:0.004776 dura:0.00899696 num:7
ave_i:0.00178742 dif_i:0.00576901 dura:0.0250239 num:15
ave_i:0.00198736 dif_i:0.00482774 dura:0.00993681 num:6
ave_i:0.00167388 dif_i:0.00589395 dura:0.015065 num:10
ave_i:0.00198272 dif_i:0.00605011 dura:0.154652 num:79
ave_i:0.00177545 dif_i:0.00587893 dura:0.0159791 num:10
ave_i:0.00185607 dif_i:0.00586486 dura:0.025985 num:15
ave_i:0.00186293 dif_i:0.00586104 dura:0.0260811 num:15
ave_i:0.00185049 dif_i:0.00577307 dura:0.0111029 num:7
ave_i:0.00225439 dif_i:0.00584698 dura:0.011272 num:6
ave_i:0.00198851 dif_i:0.00596809 dura:0.109368 num:56
ave_i:0.00191445 dif_i:0.00595403 dura:0.0880649 num:47
ave_i:0.0018955 dif_i:0.00493789 dura:0.018955 num:11
ave_i:0.00198998 dif_i:0.0118852 dura:0.0915389 num:47
ave_i:0.0020973 dif_i:0.00584626 dura:0.020973 num:11
ave_i:0.00129801 dif_i:0.00497222 dura:0.00519204 num:5
ave_i:0.00184554 dif_i:0.00584579 dura:0.0239921 num:14
ave_i:0.00198613 dif_i:0.00602221 dura:0.0139029 num:8
ave_i:0.00195501 dif_i:0.00596285 dura:0.173996 num:90
ave_i:0.00149886 dif_i:0.00488281 dura:0.00899315 num:7
ave_i:0.00199966 dif_i:0.00594306 dura:0.0759871 num:39
ave_i:0.00183384 dif_i:0.00581908 dura:0.011003 num:7
ave_i:0.00189819 dif_i:0.00516415 dura:0.0189819 num:11
ave_i:0.00218258 dif_i:0.00611901 dura:0.026191 num:13
ave_i:0.00182867 dif_i:0.00580311 dura:0.010972 num:7
ave_i:0.0019731 dif_i:0.00595069 dura:0.155875 num:80
ave_i:0.00173757 dif_i:0.00579906 dura:0.0208509 num:13
ave_i:0.00144471 dif_i:0.00597882 dura:0.010113 num:8
ave_i:0.0015457 dif_i:0.00572395 dura:0.0108199 num:8
ave_i:0.00195218 dif_i:0.0059402 dura:0.085896 num:45
ave_i:0.00167282 dif_i:0.00594306 dura:0.0100369 num:7
ave_i:0.0019973 dif_i:0.0059309 dura:0.0798919 num:41
ave_i:0.001663 dif_i:0.00578284 dura:0.014967 num:10
ave_i:0.00175659 dif_i:0.00588393 dura:0.0210791 num:13
ave_i:0.00200031 dif_i:0.00588179 dura:0.0260041 num:14
ave_i:0.00201811 dif_i:0.00599694 dura:0.110996 num:56
ave_i:0.00181846 dif_i:0.00589013 dura:0.0200031 num:12
ave_i:0.00207875 dif_i:0.00596499 dura:0.024945 num:13
ave_i:0.00176175 dif_i:0.00579119 dura:0.0158558 num:10
ave_i:0.00192738 dif_i:0.00577092 dura:0.0250559 num:14
ave_i:0.001433 dif_i:0.00588298 dura:0.010031 num:8
ave_i:0.00168041 dif_i:0.00587797 dura:0.020165 num:13
ave_i:0.00184092 dif_i:0.00594187 dura:0.023932 num:14
ave_i:0.00149697 dif_i:0.00570297 dura:0.00598788 num:5
ave_i:0.00167731 dif_i:0.00577903 dura:0.0100639 num:7
ave_i:0.0019663 dif_i:0.00597811 dura:0.259551 num:133
ave_i:0.001893 dif_i:0.00498104 dura:0.01893 num:11
ave_i:0.00194448 dif_i:0.0060153 dura:0.110835 num:58
